Fecha Inicio Viaje,Fecha Fin Viaje,Temporada,ID Origen,ID Destino,Tiempo,Viaje
20/05/2019,20/05/2019,2,11,51,7.788460279,15269
21/05/2019,21/05/2019,2,51,51,7.523326188,15862
22/05/2019,22/05/2019,2,51,51,7.663550229,15937
23/05/2019,23/05/2019,2,51,51,6.936642717,15310
24/05/2019,24/05/2019,2,51,51,4.985908716,14548
25/05/2019,25/05/2019,2,51,51,5.275242047,9399
26/05/2019,26/05/2019,2,50,50,8.220177413,7553
27/05/2019,27/05/2019,2,51,51,8.018355169,15418
28/05/2019,28/05/2019,2,50,51,7.748048217,16011
29/05/2019,29/05/2019,2,51,51,8.405795251,15668
30/05/2019,30/05/2019,2,51,51,7.284355045,15660
31/05/2019,31/05/2019,2,51,51,6.314645646,13574
01/06/2019,01/06/2019,3,50,50,5.087800931,9886
02/06/2019,02/06/2019,3,50,50,9.26962705,6891
03/06/2019,03/06/2019,3,51,51,8.341480745,14074
04/06/2019,04/06/2019,3,50,51,8.264547206,15570
05/06/2019,05/06/2019,3,51,51,7.642307692,15600
06/06/2019,06/06/2019,3,51,51,7.8207018,15332
07/06/2019,07/06/2019,3,51,51,6.080691251,14698
08/06/2019,08/06/2019,3,51,51,4.393168194,8841
09/06/2019,09/06/2019,3,50,50,7.844979051,7399
10/06/2019,10/06/2019,3,51,51,7.607085775,15016
11/06/2019,11/06/2019,3,51,51,7.690594708,15268
12/06/2019,12/06/2019,3,51,51,8.099328948,15051
13/06/2019,13/06/2019,3,51,51,7.77855088,14947
14/06/2019,14/06/2019,3,51,51,6.591987202,14377
15/06/2019,15/06/2019,3,51,51,5.725609756,9348
16/06/2019,16/06/2019,3,51,51,9.399828326,5825
17/06/2019,17/06/2019,3,51,51,11.36544668,14563
18/06/2019,18/06/2019,3,51,51,7.176050393,15399
19/06/2019,19/06/2019,3,51,51,7.002602884,14215
20/06/2019,20/06/2019,3,51,51,7.756847251,14933
21/06/2019,21/06/2019,3,51,51,6.116700062,14473
22/06/2019,22/06/2019,3,50,51,5.781687846,9207
23/06/2019,23/06/2019,3,50,51,8.430104408,6896
24/06/2019,24/06/2019,3,51,51,7.450382732,14501
25/06/2019,25/06/2019,3,50,51,6.899696268,13828
26/06/2019,26/06/2019,3,51,51,8.232706182,14138
27/06/2019,27/06/2019,3,51,51,8.699323858,14494
28/06/2019,28/06/2019,3,51,51,5.992380952,14175
29/06/2019,29/06/2019,3,51,51,4.386422977,9192
30/06/2019,30/06/2019,3,51,51,8.038842121,6771
01/07/2019,01/07/2019,3,50,51,8.697839153,13976
02/07/2019,02/07/2019,3,51,51,8.414146868,14816
03/07/2019,03/07/2019,3,50,51,7.356034252,14948
04/07/2019,04/07/2019,3,51,51,7.375608061,14390
05/07/2019,05/07/2019,3,51,51,6.288202525,14181
06/07/2019,06/07/2019,3,51,51,5.806659267,9010
07/07/2019,07/07/2019,3,51,51,6.949972051,7156
08/07/2019,08/07/2019,3,51,51,8.890048154,12460
09/07/2019,09/07/2019,3,51,51,7.679128186,13535
10/07/2019,10/07/2019,3,51,51,7.524573934,14141
11/07/2019,11/07/2019,3,51,51,7.719763606,14552
12/07/2019,12/07/2019,3,51,51,7.743133724,13326
13/07/2019,13/07/2019,3,51,51,6.308732523,8726
14/07/2019,14/07/2019,3,51,51,6.95968946,6698
15/07/2019,15/07/2019,3,51,51,8.591635106,12146
