Fecha Inicio Viaje	Fecha Fin Viaje	Temporada	ID Origen	ID Destino	Tiempo	Viaje
06/06/2019	06/06/2019	3	51	51	7	15332
07/06/2019	07/06/2019	3	51	51	6	14698
08/06/2019	08/06/2019	3	51	51	5	8841
09/06/2019	09/06/2019	3	50	50	6	7399
10/06/2019	10/06/2019	3	51	51	6	15016
11/06/2019	11/06/2019	3	51	51	6	15268
12/06/2019	12/06/2019	3	51	51	7	15051
13/06/2019	13/06/2019	3	51	51	7	14947
14/06/2019	14/06/2019	3	51	51	7	14377
15/06/2019	15/06/2019	3	51	51	5	9348
16/06/2019	16/06/2019	3	51	51	6	5825
17/06/2019	17/06/2019	3	51	51	6	14563
18/06/2019	18/06/2019	3	51	51	6	15399
19/06/2019	19/06/2019	3	51	51	6	14215
20/06/2019	20/06/2019	3	51	51	5	14933
21/06/2019	21/06/2019	3	51	51	5	14473
22/06/2019	22/06/2019	3	50	51	6	9207
23/06/2019	23/06/2019	3	50	51	6	6896
24/06/2019	24/06/2019	3	51	51	6	14501
25/06/2019	25/06/2019	3	50	51	5	13828
26/06/2019	26/06/2019	3	51	51	6	14138
27/06/2019	27/06/2019	3	51	51	6	14494
28/06/2019	28/06/2019	3	51	51	6	14175
29/06/2019	29/06/2019	3	51	51	6	9192
30/06/2019	30/06/2019	3	51	51	6	6771
01/07/2019	01/07/2019	3	50	51	5	13976
02/07/2019	02/07/2019	3	51	51	6	14816
03/07/2019	03/07/2019	3	50	51	5	14948
04/07/2019	04/07/2019	3	51	51	6	14390
05/07/2019	05/07/2019	3	51	51	6	14181
06/07/2019	06/07/2019	3	51	51	7	9010
07/07/2019	07/07/2019	3	51	51	6	7156
08/07/2019	08/07/2019	3	51	51	6	12460
09/07/2019	09/07/2019	3	51	51	6	13535
10/07/2019	10/07/2019	3	51	51	7	14141
11/07/2019	11/07/2019	3	51	51	6	14552
12/07/2019	12/07/2019	3	51	51	6	13326
13/07/2019	13/07/2019	3	51	51	5	8726
14/07/2019	14/07/2019	3	51	51	5	6698
15/07/2019	15/07/2019	3	51	51	6	12146
16/07/2019	16/07/2019	3	51	51	6	14818
17/07/2019	17/07/2019	3	51	51	6	14368
18/07/2019	18/07/2019	3	194	51	5	13144
19/07/2019	19/07/2019	3	51	51	6	12014
20/07/2019	20/07/2019	3	51	51	7	8018
21/07/2019	21/07/2019	3	51	51	6	6250
22/07/2019	22/07/2019	3	51	51	7	13982
23/07/2019	23/07/2019	3	51	51	7	14085
24/07/2019	24/07/2019	3	51	51	6	12837
25/07/2019	25/07/2019	3	51	51	5	13413
26/07/2019	26/07/2019	3	51	51	7	12617
27/07/2019	27/07/2019	3	51	51	6	8865
28/07/2019	28/07/2019	3	50	50	7	6885
29/07/2019	29/07/2019	3	51	51	6	12523
30/07/2019	30/07/2019	3	51	51	6	13940
31/07/2019	31/07/2019	3	51	51	7	14255
01/08/2019	01/08/2019	3	51	51	6	14008
02/08/2019	02/08/2019	3	51	51	8	13344
03/08/2019	03/08/2019	3	51	51	6	9013
04/08/2019	04/08/2019	3	50	51	6	6591
05/08/2019	05/08/2019	3	51	51	6	13764
06/08/2019	06/08/2019	3	52	51	7	13470
07/08/2019	07/08/2019	3	51	51	6	13691
08/08/2019	08/08/2019	3	194	51	7	11622
09/08/2019	09/08/2019	3	51	51	7	13627
10/08/2019	10/08/2019	3	51	51	7	8892
11/08/2019	11/08/2019	3	51	51	6	7268
12/08/2019	12/08/2019	3	51	51	6	15126
13/08/2019	13/08/2019	3	51	51	6	15974
14/08/2019	14/08/2019	3	194	51	7	16251
15/08/2019	15/08/2019	3	51	51	7	16087
16/08/2019	16/08/2019	3	51	51	7	13946
17/08/2019	17/08/2019	3	51	51	6	9653
18/08/2019	18/08/2019	3	50	50	7	7154
19/08/2019	19/08/2019	3	51	51	5	15567
20/08/2019	20/08/2019	3	51	51	6	16270
21/08/2019	21/08/2019	3	51	51	6	16248
22/08/2019	22/08/2019	3	51	51	7	14862
23/08/2019	23/08/2019	3	51	51	6	15084
24/08/2019	24/08/2019	3	51	51	7	8141
25/08/2019	25/08/2019	3	51	51	6	7379
26/08/2019	26/08/2019	3	51	51	7	12707
27/08/2019	27/08/2019	3	51	51	6	16260
28/08/2019	28/08/2019	3	51	51	6	15095
29/08/2019	29/08/2019	3	51	51	7	15918
30/08/2019	30/08/2019	3	51	51	7	15231
31/08/2019	31/08/2019	3	51	51	6	9803
01/09/2019	01/09/2019	3	51	51	6	7535
02/09/2019	02/09/2019	3	51	51	6	14028
03/09/2019	03/09/2019	3	51	51	7	16002
04/09/2019	04/09/2019	3	51	51	5	14716
05/09/2019	05/09/2019	3	51	51	5	15295
06/09/2019	06/09/2019	3	34	51	7	14734
07/09/2019	07/09/2019	3	51	51	8	8771
08/09/2019	08/09/2019	3	51	51	5	7338
09/09/2019	09/09/2019	3	51	51	7	15563
10/09/2019	10/09/2019	3	51	51	6	15589
11/09/2019	11/09/2019	3	51	51	5	15959
12/09/2019	12/09/2019	3	51	51	6	15863
13/09/2019	13/09/2019	3	51	51	6	14457
14/09/2019	14/09/2019	3	51	51	8	8852
15/09/2019	15/09/2019	3	51	54	6	6441
16/09/2019	16/09/2019	3	51	50	7	6082
17/09/2019	17/09/2019	3	51	51	7	15865
18/09/2019	18/09/2019	3	51	51	6	16153
19/09/2019	19/09/2019	3	51	51	6	16171
20/09/2019	20/09/2019	3	51	51	6	14459
21/09/2019	21/09/2019	3	51	51	6	10092
22/09/2019	22/09/2019	3	50	51	7	7698
23/09/2019	23/09/2019	3	51	51	7	15410
24/09/2019	24/09/2019	3	11	51	7	16122
25/09/2019	25/09/2019	3	11	51	7	15795
26/09/2019	26/09/2019	3	51	51	6	15248
27/09/2019	27/09/2019	3	51	51	5	14028
28/09/2019	28/09/2019	3	51	51	7	9779
29/09/2019	29/09/2019	3	50	51	6	6139
30/09/2019	30/09/2019	3	51	51	7	14739
01/10/2019	01/10/2019	4	51	51	6	16105
02/10/2019	02/10/2019	4	51	51	6	13661
03/10/2019	03/10/2019	4	51	51	7	16027
04/10/2019	04/10/2019	4	51	51	6	14801
05/10/2019	05/10/2019	4	51	51	7	9859
06/10/2019	06/10/2019	4	51	51	6	8149
07/10/2019	07/10/2019	4	51	51	6	15951
08/10/2019	08/10/2019	4	51	51	7	16533
09/10/2019	09/10/2019	4	51	51	6	16267
10/10/2019	10/10/2019	4	51	51	6	16063
11/10/2019	11/10/2019	4	51	51	7	14927
12/10/2019	12/10/2019	4	51	51	6	8777
13/10/2019	13/10/2019	4	51	51	5	7051
14/10/2019	14/10/2019	4	51	51	6	16005
15/10/2019	15/10/2019	4	51	51	6	16577
16/10/2019	16/10/2019	4	51	51	6	16719
17/10/2019	17/10/2019	4	51	51	6	16064
18/10/2019	18/10/2019	4	51	51	7	14245
19/10/2019	19/10/2019	4	51	51	7	9632
20/10/2019	20/10/2019	4	51	51	6	6837
21/10/2019	21/10/2019	4	51	51	6	15364
22/10/2019	22/10/2019	4	51	51	7	13275
23/10/2019	23/10/2019	4	51	51	6	15509
24/10/2019	24/10/2019	4	51	51	7	15479
25/10/2019	25/10/2019	4	51	51	7	14751
26/10/2019	26/10/2019	4	51	51	8	9442
27/10/2019	27/10/2019	4	51	51	5	7305
28/10/2019	28/10/2019	4	51	51	5	15313
29/10/2019	29/10/2019	4	51	51	6	16339
30/10/2019	30/10/2019	4	51	51	7	16568
31/10/2019	31/10/2019	4	51	51	6	13256
01/11/2019	01/11/2019	4	51	51	6	14797
02/11/2019	02/11/2019	4	51	51	5	7300
03/11/2019	03/11/2019	4	50	50	6	7238
04/11/2019	04/11/2019	4	51	51	7	15308
05/11/2019	05/11/2019	4	51	51	7	15613
06/11/2019	06/11/2019	4	51	51	6	16343
07/11/2019	07/11/2019	4	51	51	7	16179
08/11/2019	08/11/2019	4	51	51	6	15350
09/11/2019	09/11/2019	4	51	51	6	9661
10/11/2019	10/11/2019	4	51	51	7	7296
11/11/2019	11/11/2019	4	51	51	6	15185
12/11/2019	12/11/2019	4	51	51	6	13675
13/11/2019	13/11/2019	4	51	51	6	12822
14/11/2019	14/11/2019	4	51	51	7	15536
15/11/2019	15/11/2019	4	54	51	6	14707
16/11/2019	16/11/2019	4	51	51	6	7974
17/11/2019	17/11/2019	4	51	54	5	5871
18/11/2019	18/11/2019	4	51	51	8	7461
19/11/2019	19/11/2019	4	51	51	6	15225
20/11/2019	20/11/2019	4	51	51	6	15525
21/11/2019	21/11/2019	4	51	51	7	15295
22/11/2019	22/11/2019	4	51	51	7	14549
23/11/2019	23/11/2019	4	51	51	6	9227
24/11/2019	24/11/2019	4	51	50	7	7199
25/11/2019	25/11/2019	4	51	51	5	14324
26/11/2019	26/11/2019	4	51	51	6	14295
27/11/2019	27/11/2019	4	[51 52]	51	7	15082
28/11/2019	28/11/2019	4	51	51	6	15050
29/11/2019	29/11/2019	4	51	51	6	14558
30/11/2019	30/11/2019	4	51	51	6	9483
01/12/2019	01/12/2019	1	51	54	7	7015
02/12/2019	02/12/2019	1	52	51	6	14849
03/12/2019	03/12/2019	1	51	51	6	15504
04/12/2019	04/12/2019	1	51	51	6	15124
05/12/2019	05/12/2019	1	51	51	5	15000
06/12/2019	06/12/2019	1	51	51	6	14401
07/12/2019	07/12/2019	1	51	51	7	9046
08/12/2019	08/12/2019	1	50	51	6	6913
09/12/2019	09/12/2019	1	51	51	6	13899
10/12/2019	10/12/2019	1	51	51	7	14225
11/12/2019	11/12/2019	1	51	51	5	14083
12/12/2019	12/12/2019	1	51	51	7	13252
13/12/2019	13/12/2019	1	51	51	5	13144
14/12/2019	14/12/2019	1	51	51	6	8844
15/12/2019	15/12/2019	1	51	51	7	6614
16/12/2019	16/12/2019	1	52	51	6	13381
17/12/2019	17/12/2019	1	51	51	6	13691
18/12/2019	18/12/2019	1	[51 52]	51	6	13272
19/12/2019	19/12/2019	1	51	51	6	12726
20/12/2019	20/12/2019	1	51	51	7	10908
21/12/2019	21/12/2019	1	51	51	7	6015
22/12/2019	22/12/2019	1	51	51	7	5366
23/12/2019	23/12/2019	1	51	51	6	9417
24/12/2019	24/12/2019	1	54	35	6	6116
25/12/2019	25/12/2019	1	50	[35 50]	5	2616
26/12/2019	26/12/2019	1	51	51	6	8032
27/12/2019	27/12/2019	1	51	51	6	8535
28/12/2019	28/12/2019	1	[35 51 52]	51	6	6028
29/12/2019	29/12/2019	1	50	50	7	5341
30/12/2019	30/12/2019	1	51	51	6	7964
31/12/2019	31/12/2019	1	51	51	6	6158
